20 , -14.00 , -3.994636E-1 , +1.000000E-6  , +2.998118E-2  , +2.998270E-2  , +2.997900E-2  , +1.279687E-6  , 2.998118E+4 , 1.47 , +3.440000E+0  , +3.440000E-6  , +1.116778E-2  , +2.890000E+0  , +2.890000E-6  , +1.350426E-2  , 
21 , -12.00 , -3.423974E-1 , +1.000000E-6  , +2.998916E-2  , +2.998980E-2  , +2.998850E-2  , +4.841487E-7  , 2.998916E+4 , 1.50 , +3.730000E+0  , +3.730000E-6  , +1.164156E-2  , +3.990000E+0  , +3.990000E-6  , +1.174430E-2  , 
22 , -10.00 , -2.853311E-1 , +1.000000E-6  , +2.999610E-2  , +2.999650E-2  , +2.999560E-2  , +2.898275E-7  , 2.999610E+4 , 1.52 , +3.450000E+0  , +3.450000E-6  , +1.262297E-2  , +3.470000E+0  , +3.470000E-6  , +1.160892E-2  , 
23 , -8.00 , -2.282649E-1 , +1.000000E-6  , +3.000296E-2  , +3.000320E-2  , +3.000270E-2  , +1.624808E-7  , 3.000296E+4 , 1.55 , +3.400000E+0  , +3.400000E-6  , +1.167540E-2  , +3.430000E+0  , +3.430000E-6  , +1.140585E-2  , 
24 , -6.00 , -1.711987E-1 , +1.000000E-6  , +3.000970E-2  , +3.001010E-2  , +3.000930E-2  , +2.828427E-7  , 3.000970E+4 , 1.57 , +3.270000E+0  , +3.270000E-6  , +1.150619E-2  , +3.370000E+0  , +3.370000E-6  , +1.072895E-2  , 
25 , -4.00 , -1.141325E-1 , +1.000000E-6  , +3.001604E-2  , +3.001680E-2  , +3.001520E-2  , +5.425864E-7  , 3.001604E+4 , 1.59 , +3.420000E+0  , +3.420000E-6  , +1.106625E-2  , +3.170000E+0  , +3.170000E-6  , +1.242121E-2  , 
26 , -2.00 , -5.706623E-2 , +1.000000E-6  , +3.002338E-2  , +3.002360E-2  , +3.002320E-2  , +1.326650E-7  , 3.002338E+4 , 1.61 , +3.360000E+0  , +3.360000E-6  , +1.157388E-2  , +3.670000E+0  , +3.670000E-6  , +1.032280E-2  , 
27 , +0.00  , +0.000000E+0  , +1.000000E-6  , +3.002948E-2  , +3.003090E-2  , +3.002710E-2  , +1.265543E-6  , 3.002948E+4 , 1.64 , +3.580000E+0  , +3.580000E-6  , +1.137083E-2  , +3.050000E+0  , +3.050000E-6  , +1.391040E-2  , 
28 , +2.00  , +5.706623E-2  , +1.000000E-6  , +3.003770E-2  , +3.003800E-2  , +3.003730E-2  , +2.607681E-7  , 3.003770E+4 , 1.66 , +3.730000E+0  , +3.730000E-6  , +1.211535E-2  , +4.110000E+0  , +4.110000E-6  , +1.133816E-2  , 
29 , +4.00  , +1.141325E-1  , +1.000000E-6  , +3.004440E-2  , +3.004500E-2  , +3.004370E-2  , +5.403702E-7  , 3.004440E+4 , 1.69 , +3.415000E+0  , +3.415000E-6  , +1.262297E-2  , +3.350000E+0  , +3.350000E-6  , +1.177815E-2  , 
