mass_A
t	x	y
3.400000000E0	-1.501816218E-1	-1.030518221E-2
3.433333333E0	-1.605031745E-1	-9.746269365E-3
3.466666667E0	-1.716183656E-1	-9.679415809E-3
3.500000000E0	-1.814701324E-1	-9.787720894E-3
3.533333333E0	-1.908761103E-1	-9.933779922E-3
3.566666667E0	-1.974352635E-1	-9.625476107E-3
3.600000000E0	-2.038098125E-1	-9.138771215E-3
3.633333333E0	-2.108780086E-1	-1.001312047E-2
3.666666667E0	-2.122732584E-1	-1.015217139E-2
3.700000000E0	-2.157549794E-1	-9.603434292E-3
3.733333333E0	-2.169895802E-1	-9.715768976E-3
3.766666667E0	-2.164489323E-1	-9.595528834E-3
3.800000000E0	-2.127928314E-1	-9.911863626E-3
3.833333333E0	-2.113306292E-1	-9.971184224E-3
3.866666667E0	-2.060346227E-1	-9.188913003E-3
3.900000000E0	-2.006614818E-1	-9.258828483E-3
3.933333333E0	-1.935164107E-1	-9.783808573E-3
3.966666667E0	-1.869643096E-1	-9.717836195E-3
4.000000000E0	-1.797417436E-1	-9.810581270E-3
4.033333333E0	-1.710991794E-1	-9.580839353E-3
4.066666667E0	-1.613244925E-1	-1.018170776E-2
4.100000000E0	-1.537069025E-1	-9.925073486E-3
4.133333333E0	-1.458836841E-1	-1.001000008E-2
4.166666667E0	-1.378302740E-1	-1.027597281E-2
4.200000000E0	-1.305740233E-1	-1.097190975E-2
4.233333333E0	-1.249761323E-1	-1.088236544E-2
4.266666667E0	-1.178644378E-1	-1.000932895E-2
4.300000000E0	-1.124793657E-1	-1.086796943E-2
4.333333333E0	-1.089050512E-1	-1.070955848E-2
4.366666667E0	-1.067405611E-1	-1.034995665E-2
4.400000000E0	-1.044872416E-1	-1.054468666E-2
4.433333333E0	-1.044629836E-1	-1.049790851E-2
4.466666667E0	-1.050684774E-1	-1.091499755E-2
4.500000000E0	-1.068273152E-1	-1.128960984E-2
4.533333333E0	-1.079950161E-1	-1.154403047E-2
4.566666667E0	-1.114632946E-1	-1.162800927E-2
4.600000000E0	-1.171670025E-1	-1.109972297E-2
4.633333333E0	-1.211016200E-1	-1.075072636E-2
4.666666667E0	-1.273228206E-1	-1.122889016E-2
4.700000000E0	-1.321174849E-1	-1.103004170E-2
4.733333333E0	-1.382545295E-1	-1.090352344E-2
4.766666667E0	-1.450836877E-1	-1.043096188E-2
4.800000000E0	-1.514531705E-1	-9.911645998E-3
4.833333333E0	-1.577348039E-1	-1.012979172E-2
4.866666667E0	-1.621861124E-1	-1.016670187E-2
4.900000000E0	-1.694710338E-1	-1.000962741E-2
4.933333333E0	-1.730768007E-1	-1.146443101E-2
4.966666667E0	-1.777654517E-1	-9.922324893E-3
5.000000000E0	-1.808978640E-1	-9.884025846E-3
5.033333333E0	-1.840638884E-1	-9.318599601E-3
5.066666667E0	-1.862581546E-1	-9.372124248E-3
5.100000000E0	-1.869644176E-1	-9.481221009E-3
5.133333333E0	-1.873218189E-1	-9.822762748E-3
5.166666667E0	-1.870255447E-1	-9.769316887E-3
5.200000000E0	-1.865323716E-1	-9.810353671E-3
5.233333333E0	-1.847124539E-1	-9.581221836E-3
5.266666667E0	-1.819137317E-1	-9.710887819E-3
